Date,Income,Expense,Description
2023-01-05,500,0,Uber Earnings
2023-01-10,0,45.50,McDonalds
2023-01-15,600,0,Lyft Earnings
2023-01-20,0,1200,Apartment Rent
2023-01-25,0,80,Internet Bill Comcast
2023-02-02,400,0,Uber Earnings
2023-02-12,0,55,Gas Station Shell
2023-02-18,300,0,Uber Earnings
2023-02-22,0,15,Spotify Subscription
2023-03-05,800,0,Lyft Earnings
2023-03-10,0,30,KFC
2023-03-15,600,0,Delivery Gig
2023-03-20,0,1200,Apartment Rent
2023-04-05,200,0,Bad Month Gig
2023-04-10,0,50,Grocery Walmart
2023-04-25,250,0,Uber Eats Delivery
2023-05-05,900,0,Uber Earnings
2023-05-15,0,100,Electric Utility
2023-05-20,0,1200,Apartment Rent
